Wall time,Step,Value
1700606081.426412,2940,0.030777348205447197
1700606112.782221,2960,0.030010107904672623
1700606144.5710378,2980,0.02666495367884636
1700606316.65718,2980,0.03278043866157532
1700606379.6359441,3000,0.028635917231440544
1700606410.4525335,3020,0.03028234839439392
1700606442.3767161,3040,0.029875731095671654
1700606475.292034,3060,0.029338853433728218
1700606508.0363646,3080,0.03019135445356369
1700606540.2776747,3100,0.031626682728528976
1700606573.284979,3120,0.029279174283146858
1700606605.9317896,3140,0.0296657532453537
1700606638.9275696,3160,0.026663292199373245
1700606671.8712294,3180,0.03130199760198593
1700606703.968144,3200,0.0292770117521286
1700606736.5820944,3220,0.029191793873906136
1700606769.2757154,3240,0.02773965708911419
1700606801.2289019,3260,0.029808752238750458
1700606833.39668,3280,0.028230026364326477
1700606866.266151,3300,0.026301292702555656
1700606898.9703522,3320,0.029890788719058037
1700606932.123238,3340,0.028924083337187767
1700606964.9744895,3360,0.02803765796124935
1700606997.319447,3380,0.026797432452440262
1700607029.9466152,3400,0.027704963460564613
1700607062.376883,3420,0.027495650574564934
1700607104.3831391,3440,0.031535789370536804
1700607136.4547021,3460,0.030424609780311584
1700607169.0975904,3480,0.028610074892640114
1700607347.0881555,3480,0.03118808940052986
1700607409.6609013,3500,0.027551019564270973
1700607440.2775836,3520,0.029397092759609222
1700607473.1066668,3540,0.029191281646490097
1700607505.3990233,3560,0.028761181980371475
1700607538.0912576,3580,0.029828358441591263
1700607571.4836564,3600,0.030768543481826782
1700607604.692097,3620,0.028569024056196213
1700607636.9500663,3640,0.028830349445343018
1700607669.7729738,3660,0.02575410157442093
1700607702.8627007,3680,0.03045419044792652
1700607735.0786693,3700,0.028368281200528145
1700607767.8120365,3720,0.028386197984218597
1700607800.0057483,3740,0.02697950229048729
1700607832.451508,3760,0.02859126776456833
1700607865.122658,3780,0.027564961463212967
1700607898.1928983,3800,0.025763284415006638
1700607930.0431406,3820,0.029350733384490013
1700607962.7341945,3840,0.028412068262696266
1700607995.2066898,3860,0.02736818790435791
1700608028.0733678,3880,0.025959724560379982
1700608060.9943495,3900,0.02750661037862301
1700608093.4777606,3920,0.027087917551398277
1700608134.3814547,3940,0.031064150854945183
1700608167.317598,3960,0.029576970264315605
1700608199.595343,3980,0.02824433147907257
1700608273.5802708,4000,0.026728246361017227
1700608304.0554953,4020,0.029608765617012978
1700608336.7460513,4040,0.026040395721793175
1700608369.0192475,4060,0.030577057972550392
1700608401.773876,4080,0.02813386172056198
1700608434.3052218,4100,0.02763870544731617
1700608466.8515887,4120,0.026887880638241768
1700608499.4804459,4140,0.02706303820014
1700608532.055932,4160,0.02581864967942238
1700608564.7278109,4180,0.030250871554017067
1700608597.5488756,4200,0.02938964031636715
1700608629.9256318,4220,0.028173115104436874
1700608662.4507632,4240,0.027719680219888687
1700608695.0518916,4260,0.02899528667330742
1700608727.8905833,4280,0.028714284300804138
1700608759.6878848,4300,0.029030468314886093
1700608792.2752788,4320,0.029160697013139725
1700608823.9667447,4340,0.026687363162636757
1700608857.0931103,4360,0.029349077492952347
1700608889.0749974,4380,0.029531067237257957
1700608933.0447466,4400,0.02729983441531658
1700608964.9608943,4420,0.027679091319441795
1700608997.288569,4440,0.027175793424248695
1700609029.7653348,4460,0.02764780819416046
1700609062.4173217,4480,0.026364993304014206
1700609240.2219517,4480,0.030438264831900597
1700609302.7565584,4500,0.026992252096533775
1700609332.7362,4520,0.028863830491900444
1700609365.615747,4540,0.028530562296509743
1700609397.5353642,4560,0.028118357062339783
1700609430.193452,4580,0.028914423659443855
1700609463.3740168,4600,0.030155139043927193
1700609495.736146,4620,0.0279806237667799
1700609528.058546,4640,0.028141843155026436
1700609560.6697543,4660,0.025277486070990562
1700609593.394662,4680,0.029903164133429527
1700609625.6851645,4700,0.028781039640307426
1700609658.204895,4720,0.02803082764148712
1700609690.796414,4740,0.026625165715813637
1700609723.7080595,4760,0.028142049908638
1700609755.847906,4780,0.02708142250776291
1700609788.5473814,4800,0.025170691311359406
1700609821.414364,4820,0.028811125084757805
1700609853.5710971,4840,0.027774449437856674
1700609885.9587462,4860,0.026873895898461342
1700609918.1200585,4880,0.025372406467795372
1700609951.1696491,4900,0.026932908222079277
1700609983.6078463,4920,0.026527132838964462
1700610025.086041,4940,0.030321286991238594
1700610056.6293712,4960,0.02876426838338375
1700610088.8631673,4980,0.02746404893696308
1700610151.6780427,5000,0.026046743616461754
1700610182.6750767,5020,0.02878914773464203
1700610214.86518,5040,0.025172309949994087
1700610246.9774804,5060,0.029259338974952698
1700610279.5086405,5080,0.02720745839178562
1700610311.559027,5100,0.02675093710422516
1700610344.3348596,5120,0.02622186206281185
1700610376.9054308,5140,0.026278581470251083
1700610409.346701,5160,0.025228578597307205
1700610441.7032194,5180,0.029501358047127724
1700610474.2833138,5200,0.02858072705566883
1700610506.9189248,5220,0.027637729421257973
1700610539.7975838,5240,0.026821479201316833
1700610572.8732452,5260,0.028035856783390045
1700610605.131837,5280,0.02761831507086754
1700610637.4785912,5300,0.028163744136691093
1700610669.8624904,5320,0.02833382412791252
1700610702.4980564,5340,0.026069561019539833
1700610735.099584,5360,0.028460044413805008
1700610767.0530553,5380,0.02850889042019844
1700646371.4287791,5380,0.029761306941509247
1700646401.0331905,5400,0.026253359392285347
1700646431.1940324,5420,0.027868788689374924
1700646461.7502553,5440,0.027898546308279037
1700646491.320999,5460,0.02724749967455864
1700646521.354145,5480,0.02810097672045231
1700646577.5527122,5500,0.029345272108912468
1700646605.4983988,5520,0.02715201862156391
1700646636.9298756,5540,0.027223268523812294
1700646666.711225,5560,0.02464471198618412
1700646697.9670072,5580,0.02917465940117836
1700646728.890942,5600,0.027235358953475952
1700646759.120227,5620,0.027249213308095932
